runId,projectId,targetSourceFiles,measurementIndex,auditMs,parseMs,dependenciesMs,componentsMs,sinksMs,graphMs,reachabilityMs,staticAnalysisMs,reportMs,totalMs,peakRssBytes,peakRssMiB,rssSampleCount,sourceFileCount,componentCount,sinkCount,findingCount,diagnosticCount,outlier
20260918T145518404Z-892aa8d3,performance-500,500,19,0.09,248.297,48.712,29.788,26.628,2.09,4.818,360.333,0.145,361.005,139743232,133.26953125,46,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,20,0.09,251.277,48.902,31.298,26.114,2.245,4.726,364.562,0.093,365.171,140435456,133.9296875,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,21,0.091,252.295,53.214,30.098,26.2,2.486,5.445,369.738,0.093,370.381,139681792,133.2109375,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,22,0.091,250.348,53.724,29.499,26.197,2.726,6.685,369.179,0.114,369.85,139694080,133.22265625,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,23,0.088,251.461,48.506,28.513,26.785,2.121,5.122,362.508,0.164,363.279,139956224,133.47265625,46,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,24,0.119,248.788,52.088,28.741,25.455,2.02,4.839,361.931,0.11,362.627,139960320,133.4765625,45,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,25,0.086,252.031,49.072,29.471,25.036,1.983,5.214,362.807,0.093,363.399,140226560,133.73046875,44,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,26,0.089,250.5,58.483,28.412,26.035,1.999,5.131,370.56,0.092,371.193,140349440,133.84765625,48,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,27,0.105,252.259,49.96,30.929,26.486,1.998,5.523,367.155,0.11,367.825,139501568,133.0390625,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,28,0.087,250.781,50.029,29.714,25.751,1.958,4.946,363.179,0.102,363.788,140492800,133.984375,47,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,29,0.088,247.495,51.464,29.856,26.389,2.061,4.882,362.147,0.092,362.761,140079104,133.58984375,49,500,505,22,33,0,false
20260918T145518404Z-892aa8d3,performance-500,500,30,0.087,249.454,48.791,27.919,26.914,2.027,5.103,360.208,0.095,360.825,139870208,133.390625,45,500,505,22,33,0,false
